Dataset: train=1405, val=156, test=4
Model config: {'sequence_len': 320, 'vocab_size': 4096, 'n_layer': 8, 'n_head': 8, 'd_model': 512, 'mlp_ratio': 4.0, 'dropout': 0.0}
Num params: 27.44M
Time budget: 300s

step 00036 (  3.7%) | loss: 6.1476 | lr: 7.43e-04 | grad: 0.73 | tok/sec: 1,393,169 | epoch: 4 | remaining: 289s   
step 00037 (  3.7%) | loss: 6.1173 | lr: 7.45e-04 | grad: 0.60 | tok/sec: 1,389,968 | epoch: 4 | remaining: 289s   
step 00038 (  3.7%) | loss: 6.0837 | lr: 7.47e-04 | grad: 0.49 | tok/sec: 1,361,461 | epoch: 4 | remaining: 289s   
step 00039 (  3.8%) | loss: 6.0523 | lr: 7.49e-04 | grad: 0.71 | tok/sec: 1,383,175 | epoch: 4 | remaining: 289s   
step 00040 (  3.8%) | loss: 6.0193 | lr: 7.51e-04 | grad: 0.92 | tok/sec: 1,387,274 | epoch: 4 | remaining: 289s   
step 00041 (  3.8%) | loss: 5.9842 | lr: 7.52e-04 | grad: 0.62 | tok/sec: 1,387,745 | epoch: 4 | remaining: 289s   
step 00042 (  3.8%) | loss: 5.9506 | lr: 7.54e-04 | grad: 0.93 | tok/sec: 1,389,102 | epoch: 4 | remaining: 289s   
step 00043 (  3.8%) | loss: 5.9190 | lr: 7.56e-04 | grad: 0.64 | tok/sec: 1,407,620 | epoch: 5 | remaining: 289s   
step 00044 (  3.8%) | loss: 5.8834 | lr: 7.58e-04 | grad: 0.86 | tok/sec: 1,382,752 | epoch: 5 | remaining: 289s   
step 00045 (  3.8%) | loss: 5.8460 | lr: 7.60e-04 | grad: 0.70 | tok/sec: 1,385,864 | epoch: 5 | remaining: 289s   
step 00046 (  3.8%) | loss: 5.8037 | lr: 7.62e-04 | grad: 0.58 | tok/sec: 1,380,485 | epoch: 5 | remaining: 289s   
step 00047 (  3.8%) | loss: 5.7673 | lr: 7.64e-04 | grad: 0.55 | tok/sec: 1,384,546 | epoch: 5 | remaining: 289s   
step 00048 (  3.8%) | loss: 5.7397 | lr: 7.66e-04 | grad: 0.60 | tok/sec: 1,375,655 | epoch: 5 | remaining: 288s   
step 00049 (  3.9%) | loss: 5.7105 | lr: 7.68e-04 | grad: 0.62 | tok/sec: 1,383,409 | epoch: 5 | remaining: 288s   
step 00050 (  3.9%) | loss: 5.6708 | lr: 7.70e-04 | grad: 0.88 | tok/sec: 1,377,883 | epoch: 5 | remaining: 288s   
step 00051 (  3.9%) | loss: 5.6406 | lr: 7.72e-04 | grad: 0.63 | tok/sec: 1,381,240 | epoch: 5 | remaining: 288s   
step 00052 (  3.9%) | loss: 5.6011 | lr: 7.74e-04 | grad: 0.79 | tok/sec: 1,383,409 | epoch: 5 | remaining: 288s   
step 00053 (  3.9%) | loss: 5.5618 | lr: 7.76e-04 | grad: 0.51 | tok/sec: 1,394,096 | epoch: 5 | remaining: 288s   
step 00054 (  3.9%) | loss: 5.5252 | lr: 7.78e-04 | grad: 0.66 | tok/sec: 1,390,733 | epoch: 6 | remaining: 288s   
step 00055 (  3.9%) | loss: 5.4770 | lr: 7.80e-04 | grad: 0.61 | tok/sec: 1,367,323 | epoch: 6 | remaining: 288s   
step 00056 (  3.9%) | loss: 5.4435 | lr: 7.82e-04 | grad: 0.52 | tok/sec: 1,377,707 | epoch: 6 | remaining: 288s   
step 00057 (  3.9%) | loss: 5.4134 | lr: 7.84e-04 | grad: 0.60 | tok/sec: 1,387,296 | epoch: 6 | remaining: 288s   
step 00058 (  3.9%) | loss: 5.3692 | lr: 7.86e-04 | grad: 0.56 | tok/sec: 1,386,602 | epoch: 6 | remaining: 288s   
step 00059 (  3.9%) | loss: 5.3285 | lr: 7.88e-04 | grad: 0.63 | tok/sec: 1,386,132 | epoch: 6 | remaining: 288s   
step 00060 (  4.0%) | loss: 5.2999 | lr: 7.90e-04 | grad: 0.53 | tok/sec: 1,379,499 | epoch: 6 | remaining: 288s   
step 00061 (  4.0%) | loss: 5.2596 | lr: 7.92e-04 | grad: 0.62 | tok/sec: 1,386,714 | epoch: 6 | remaining: 288s   
step 00062 (  4.0%) | loss: 5.2195 | lr: 7.94e-04 | grad: 0.61 | tok/sec: 1,376,503 | epoch: 6 | remaining: 288s   
